stop_id,bus_id,name,pickup_time,address,lat,lng
150723,25111,CANEY RD & STONECREST DR,Invalid,CANEY RD & STONECREST DR, 30041,19.09740313910023,-70.30280280858278
150827,25111,SADDLEBROOK GLEN DR & TATTERSALL CT,Invalid,SADDLEBROOK GLEN DR & TATTERSALL CT, 30041,41.65002021118698,-72.7342165634036
151276,25111,COMMONWEALTH TRL & COMMONWEALTH RD,Invalid,COMMONWEALTH TRL & COMMONWEALTH RD, 30041,34.124615046503564,-84.17818050831556
151449,25111,CHRISTOPHER ROBIN RD & BROOKRIDGE TRCE,Invalid,CHRISTOPHER ROBIN RD & BROOKRIDGE TRCE, 30005,19.09740313910023,-70.30280280858278
165952,25111,PINE GROVE RD & HANSARD RD,Invalid,PINE GROVE RD & HANSARD RD, 30041,40.54842335722103,-76.38467822223902
176678,25111,1404 PEACHTREE PKWY,Invalid,1404 PEACHTREE PKWY, 30041,34.125628,-84.17128300000002
140962,25112,FRANCIS RD & CLARK DR,Invalid,FRANCIS RD & CLARK DR, 30004,19.09740313910023,-70.30280280858278
143491,25112,3690 HAMBY RD,Invalid,3690 HAMBY RD, 30004,34.154485,-84.254955
143667,25112,395 BRANDYWINE CIR,Invalid,395 BRANDYWINE CIR, 30004,34.131661,-84.227618
144011,25112,HAMBY OAKS DR & OAKLAND CHSE,Invalid,HAMBY OAKS DR & OAKLAND CHSE, 30004,42.66188437219751,-83.3804439380765
144012,25112,OAKSIDE DR & HAMBY OAKS DR,Invalid,OAKSIDE DR & HAMBY OAKS DR, 30004,19.09740313910023,-70.30280280858278
144737,25112,WINDY HILL DR & STONEBRIER LN,Invalid,,,
149118,25112,OAKMONT BEND DR & BETTES CT,Invalid,OAKMONT BEND DR & BETTES CT, 30004,41.65002021118698,-72.7342165634036
149150,25112,MULLINAX RD & PRESERVE LN,Invalid,MULLINAX RD & PRESERVE LN, 30004,34.1363358639225,-84.23203227598219
149155,25112,OAKMONT BEND DR & BAGLEY TERRACE DR,Invalid,OAKMONT BEND DR & BAGLEY TERRACE DR, 30004,44.05817297483054,-121.31530992686749
149156,25112,OAKMONT BEND DR & SHARRON POINT CT,Invalid,OAKMONT BEND DR & SHARRON POINT CT, 30004,41.8792599740659,-73.47678981721401
149157,25112,OAKMONT BEND DR & MATTHEW MEADOW CT,Invalid,OAKMONT BEND DR & MATTHEW MEADOW CT, 30004,41.65002021118698,-72.7342165634036
150373,25112,5875 BRADENTON RD,Invalid,5875 BRADENTON RD,34.157506,-84.24882300000002
150374,25112,5755 BRADENTON RD,Invalid,5755 BRADENTON RD,34.159228,-84.25087100000002
150375,25112,5555 BRADENTON RD,Invalid,5555 BRADENTON RD,34.15901,-84.24864200000002
150417,25112,710 MULLINAX RD,Invalid,710 MULLINAX RD, 30004,34.143861,-84.23441700000001
150445,25112,5345 ATLANTA HWY,Invalid,5345 ATLANTA HWY, 30004,34.153269,-84.25084700000002
151336,25112,345 BRANDYWINE CIR,Invalid,345 BRANDYWINE CIR, 30004,34.133464,-84.228522
151359,25112,WINDY HILL DR & WINDY HILL CT,Invalid,WINDY HILL DR & WINDY HILL CT, 30004,41.6648217477497,-72.63925898820162
163587,25112,BLACKWELL BEND & BARKLEY HILL,Invalid,,,
165956,25112,FOWLER RD & WYNGATE POINT DR,Invalid,FOWLER RD & WYNGATE POINT DR, 30004,19.09740313910023,-70.30280280858278
168992,25112,BRANDYWINE CIR & BRANDYWINE CT,Invalid,BRANDYWINE CIR & BRANDYWINE CT, 30004,39.94646877345341,-86.2235164556069
174237,25112,5465 CALDORWOOD RD,Invalid,5465 CALDORWOOD RD,34.157931,-84.24687799999998
175034,25112,BRIDGEHAMPTON AVE & HAMPTON OAKS DR,Invalid,BRIDGEHAMPTON AVE & HAMPTON OAKS DR, 30004,37.02644144870363,-76.34428482502699
175035,25112,BRIDGEHAMPTON AVE & CAMDEN PARK PL,Invalid,BRIDGEHAMPTON AVE & CAMDEN PARK PL,-34.96713573350543,138.54140639305115
175638,25112,MULLINAX RD & CUMORAH TRL,Invalid,MULLINAX RD & CUMORAH TRL, 30004,34.1385244440201,-84.23298092482173
175918,25112,4720 ATLANTA HWY,Invalid,4720 ATLANTA HWY, 30004,34.159355,-84.23254500000002
143509,25113,SHILOH RD & EPPS LN,Invalid,SHILOH RD & Epps Ln, 30040,19.09740313910023,-70.30280280858278
145974,25113,SUNSET TRL & BLUE SKY LN,Invalid,SUNSET TRL & BLUE SKY LN,36.521156681900564,-82.51115967096132
145975,25113,UNION HILL RD & DOUBLE BRANCHES DR,Invalid,UNION HILL RD & DOUBLE BRANCHES DR,41.10753221924982,-88.14671896398067
146273,25113,OTTER CREEK RUN & LOWER CREEK CT,Invalid,OTTER CREEK RUN & LOWER CREEK CT,29.324965411982195,-82.77178131043911
146314,25113,SHILOH RD & FARMSTEAD DR,Invalid,,,
147311,25113,SHILOH RD & MARISTONE LANDING WAY,Invalid,SHILOH RD & MARISTONE LANDING WAY, 30040,34.14158448080936,-84.2031046559893
150022,25113,UNION HILL RD & BRECKINRIDGE LN,Invalid,UNION HILL RD & BRECKINRIDGE LN, 30040,41.10753221924982,-88.14671896398067
150922,25113,3971 MARS HILL RD,Invalid,3971 MARS HILL RD, 30040,34.150864,-84.20322499999997
