149271	25108	DENMARK HS	CREEK TREE LN & GAINESWAY CT	7:32:00 AM	CREEK TREE LN & GAINESWAY CT, 30041
149272	25108	DENMARK HS	CREEK TREE LN & S CLEMENT RD	7:33:00 AM	S CLEMENT RD & CREEK TREE LN, 30041
149273	25108	DENMARK HS	CREEK TREE LN & FLAT STONE DR	7:34:00 AM	CREEK TREE LN & FLAT STONE DR, 30041
149406	25108	DENMARK HS	2380 WOOD COVE DR	7:35:00 AM	2380 WOOD COVE DR, 30041
149671	25108	DENMARK HS	FLINT CREEK DR & MAIN CHANCE DR	7:37:00 AM	FLINT CREEK DR & MAIN CHANCE DR, 30041
149706	25108	DENMARK HS	WOOD COVE DR & FOSSIL CREEK DR	7:36:30 AM	WOOD FALLS DR & FOSSIL CREEK DR, 30041
149734	25108	DENMARK HS	WOOD FALLS DR & BUTE CLIFF TRCE	7:43:00 AM	WOOD FALLS DR & BUTE CLIFF TRCE, 30041
149879	25108	DENMARK HS	S CLEMENT RD & HILLANDALE CIR	7:25:00 AM	S CLEMENT RD & HILLANDALE CIR, 30041
151719	25108	DENMARK HS	CREEK TREE LN & WILLS MILL RD	7:30:00 AM	CREEK TREE LN & WILLS MILL RD, 30041
151720	25108	DENMARK HS	2235 WOOD FALLS DR	7:44:00 AM	FOSSIL CREEK DR & WOOD COVE DR, 30041
165306	25108	DENMARK HS	WOOD FALLS DR & STONE MEEADOW WAY	7:45:00 AM	WOOD FALLS DR & STONE MEADOW WAY, 30041
165899	25108	DENMARK HS	605 FOWLER RD	7:55:00 AM	605 FOWLER RD, 30004
166925	25108	DENMARK HS	N CLEMENT RD & BRADLEY TRL	7:46:10 AM	N CLEMENT RD & BRADLEY TRL, 30041
169972	25108	DENMARK HS	575 FOWLER RD	7:56:00 AM	575 FOWLER RD, 30004
173757	25108	DENMARK HS	505 FOWLER RD	7:57:20 AM	505 FOWLER RD, 30004
147406	25109	DENMARK HS	1680 MARCIA OVERLOOK DR	7:34:00 AM	1680 MARCIA OVERLOOK DR, 30041
151607	25109	DENMARK HS	1815 MARCIA OVERLOOK DR	7:41:00 AM	1815 MARCIA OVERLOOK DR, 30041
151625	25109	DENMARK HS	RUTLAND PKWY & WESTMOORLAND NORTH LN	7:27:00 AM	RUTLAND PKWY & WESTMOORLAND LN, 30041
151774	25109	DENMARK HS	1980 MARCIA OVERLOOK DR	7:35:00 AM	1980 MARCIA OVERLOOK DR, 30041
173551	25109	DENMARK HS	1405 SQUIRE LN	7:31:00 AM	1405 SQUIRE LN, 30041
143561	25110	DENMARK HS	750 OLD ALPHARETTA RD	7:29:00 AM	750 OLD ALPHARETTA RD, 30005
145980	25110	DENMARK HS	1880 MANOR VW	7:24:00 AM	1880 MNR VIEW
148967	25110	DENMARK HS	2555 STRATHMORE DR	7:18:00 AM	2555 STRATHMORE DR, 30041
149253	25110	DENMARK HS	STRATHMORE DR & KENSINGTON CT	7:15:00 AM	STRATHMORE DR & KENSINGTON CT, 30041
150676	25110	DENMARK HS	61 LAMBETS WAY	7:09:00 AM	61 LAMBETS WAY, 30005
150677	25110	DENMARK HS	WINDHAVEN DR & WOODVINE WAY	7:31:00 AM	WINDHAVEN DR & WOODVINE WAY, 30005
150960	25110	DENMARK HS	MONTICELLO DR & BRISTOL LN	7:16:00 AM	MONTICELLO DR & BRISTOL LN, 30041
151055	25110	DENMARK HS	OLD ALPHARETTA RD & WALTERS CIR	7:30:00 AM	OLD ALPHARETTA RD & WALTERS CIR, 30005
151228	25110	DENMARK HS	985 WINDHAVEN DR	7:32:00 AM	985 WINDHAVEN DR, 30005
151342	25110	DENMARK HS	808 OLD ALPHARETTA RD	7:10:00 AM	808 OLD ALPHARETTA RD, 30005
151733	25110	DENMARK HS	2345 MANOR VW	7:22:00 AM	2345 MANOR VW, 30041
